"","id","Staande.lengte","Zittende.lengte","Lengte.bovenlichaam","Gewicht","Maturity.Offset","Balance.Beam.6cm","Balance.Beam.4.5cm","Balance.Beam.3cm","Balance.beam.totaal","Zijwaarts.springen.1","Zijwaarts.springen.2","Zijwaarts.springen.totaal","Zijwaarts.verplaatsen.1","Zijwaarts.verplaatsen.2","Zijwaarts.verplaatsen.totaal","Oog.hand.coordinatie.1","Oog.hand.coordinatie.2","Oog.hand.coordinatie.Totaal","X10.meter.sprint.1","X10.meter.sprint.2","X10.meter.sprint.beste","X20.meter.sprint.1","X20.meter.sprint.2","X20.meter.sprint.beste","X30.meter.sprint.1","X30.meter.sprint.2","X30.meter.sprint.beste","CoD.links.1","CoD.links.2","CoD.links.beste","CoD.rechts.1","CoD.rechts.2","CoD.rechts.beste","Vertesprong.1","Vertesprong.2","Vertesprong.beste","team_id","reeks_id","team_naam","geboortedatum"
"549",2220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-01"
"550",2222,152.5,115,72.4,41.1,NA,24,19,11,54,48,55,103,26,30,56,31,34,65,2.16,2.01,2.01,3.72,3.59,3.59,5.16,5.11,5.11,9,9.13,9,9.14,9.18,9.14,1.69,1.75,1.75,1,1,"Onder 13","2009-01"
"551",2223,160.5,124.5,81.9,41.1,NA,24,24,10,58,53,56,109,28,30,58,37,36,73,1.98,1.94,1.94,3.54,3.48,3.48,4.98,4.85,4.85,8.78,8.42,8.42,8.69,8.97,8.69,1.92,2.03,2.03,1,1,"Onder 13","2009-01"
"552",238,142.6,120.9,75.9,35.2,NA,24,24,10,58,56,62,118,33,35,68,26,27,53,2.15,2.07,2.07,3.76,3.64,3.64,5.3,5.2,5.2,8.69,8.73,8.69,8.76,8.66,8.66,1.72,1.7,1.72,1,1,"Onder 13","2009-02"
"553",239,152.2,124.2,79.2,36.8,NA,24,8,10,42,59,58,117,29,29,58,30,29,59,2.11,2.16,2.11,3.69,3.66,3.66,5.2,5.14,5.14,8.65,8.98,8.65,8.98,8.69,8.69,1.69,1.8,1.8,1,1,"Onder 13","2009-02"
"554",1612,145.7,113.3,73.4,39.6,NA,24,24,17,65,48,50,98,31,27,58,20,26,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-02"
"555",1613,162.7,123.3,83.4,45.1,NA,24,24,23,71,52,46,98,31,33,64,24,32,56,1.96,1.99,1.96,3.39,3.47,3.39,4.82,4.88,4.82,8.49,8.58,8.49,8.68,8.69,8.68,1.96,1.92,1.96,1,1,"Onder 13","2009-02"
"556",1614,161.1,124.2,84.3,48.8,NA,24,17,18,59,58,58,116,33,33,66,28,26,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-02"
"557",1889,158,120.1,78.7,39.6,NA,24,24,11,59,54,52,106,19,29,48,31,33,64,2.14,2.02,2.02,3.67,3.5,3.5,5.1,4.91,4.91,9.18,8.96,8.96,9.02,8.94,8.94,1.87,1.93,1.93,1,1,"Onder 13","2009-02"
"558",1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-02"
"559",1891,147.5,116.6,75.2,36.4,NA,24,19,11,54,50,52,102,28,29,57,23,25,48,2.11,2.08,2.08,3.65,3.73,3.65,5.27,5.3,5.27,9.35,9.15,9.15,9.5,9.4,9.4,1.77,1.78,1.78,1,1,"Onder 13","2009-02"
"560",1892,121.7,158.5,117.1,49.9,NA,24,24,12,60,48,54,102,22,29,51,31,31,62,2.05,2.01,2.01,3.55,3.42,3.42,4.93,4.8,4.8,8.79,8.62,8.62,8.83,8.57,8.57,1.71,1.68,1.71,1,1,"Onder 13","2009-02"
"561",235,161.3,126.6,81.6,45.3,NA,18,11,8,37,51,56,107,25,32,57,30,20,50,1.91,2.09,1.91,3.45,3.53,3.45,4.89,5.02,4.89,8.69,8.84,8.69,9.03,8.7,8.7,1.89,1.86,1.89,1,1,"Onder 13","2009-03"
"562",236,172.1,133.1,88.1,53.5,NA,21,13,8,42,49,50,99,19,25,44,24,24,48,2.19,2.11,2.11,3.73,3.61,3.61,5.28,5.03,5.03,NA,NA,NA,8.89,8.79,8.79,1.66,1.86,1.86,1,1,"Onder 13","2009-03"
"563",237,154.6,123.5,78.5,36.7,NA,21,13,5,39,60,57,117,30,32,62,30,33,63,1.86,1.91,1.86,3.25,3.36,3.25,4.58,4.68,4.58,8.98,8.5,8.5,8.77,8.44,8.44,1.84,1.88,1.88,1,1,"Onder 13","2009-03"
"564",1611,152.3,116.8,76.9,40.7,NA,24,24,13,61,48,54,102,29,29,58,34,30,64,2.04,2.05,2.04,3.49,3.49,3.49,4.87,4.93,4.87,8.92,8.72,8.72,8.75,8.75,8.75,1.74,1.85,1.85,1,1,"Onder 13","2009-03"
"565",1750,162.4,125,82.9,49.1,NA,24,10,15,49,50,50,100,24,24,48,23,31,54,2.01,2.04,2.01,3.53,3.51,3.51,5,4.98,4.98,8.57,8.55,8.55,8.51,8.66,8.51,1.85,1.77,1.85,1,1,"Onder 13","2009-03"
"566",1887,155.2,118.4,77,40,NA,24,15,9,48,52,58,110,26,29,55,33,34,67,2.13,1.98,1.98,3.62,3.51,3.51,5.1,4.99,4.99,8.73,8.8,8.73,8.95,8.76,8.76,1.88,1.92,1.92,1,1,"Onder 13","2009-03"
"567",1888,115.2,145.4,104,32.5,NA,19,24,8,51,45,43,88,25,30,55,25,30,55,1.92,2.08,1.92,3.34,3.52,3.34,4.73,4.91,4.73,8.67,8.87,8.67,8.71,8.63,8.63,1.89,1.98,1.98,1,1,"Onder 13","2009-03"
"568",2218,156.5,122,79.4,41.9,NA,24,18,16,58,46,50,96,30,32,62,30,35,65,2.14,2.1,2.1,3.71,3.7,3.7,5.16,5.17,5.16,9.08,9.07,9.07,9.12,8.99,8.99,1.67,1.7,1.7,1,1,"Onder 13","2009-03"
"569",2219,150.5,117.5,74.9,38.7,NA,24,24,21,69,54,60,114,32,32,64,35,37,72,2.1,2.13,2.1,3.56,3.63,3.56,4.92,4.99,4.92,8.77,8.74,8.74,8.78,8.56,8.56,1.86,1.79,1.86,1,1,"Onder 13","2009-03"
"570",233,158.4,124.7,79.7,41.1,NA,17,9,13,39,46,55,101,31,32,63,32,32,64,2.12,2.05,2.05,3.65,3.59,3.59,5.14,5.02,5.02,9.07,8.8,8.8,8.99,8.93,8.93,1.73,1.7,1.73,1,1,"Onder 13","2009-04"
"571",234,150.3,121.3,76.3,46.5,NA,18,22,11,51,54,58,112,23,28,51,20,30,50,2.13,2.09,2.09,3.59,3.58,3.58,5.03,5.03,5.03,NA,NA,NA,NA,NA,NA,1.65,1.66,1.66,1,1,"Onder 13","2009-04"
"572",1749,148.6,117.1,75,36.5,NA,24,9,5,38,56,58,114,26,26,52,NA,NA,NA,1.94,1.95,1.94,3.35,3.42,3.35,4.78,4.85,4.78,8.29,8.31,8.29,8.47,8.18,8.18,1.94,1.96,1.96,1,1,"Onder 13","2009-04"
"573",1886,135.2,108,66.6,31.5,NA,17,24,16,57,44,43,87,26,30,56,21,20,41,2.04,2.2,2.04,3.6,3.71,3.6,5.1,5.13,5.1,9.03,8.92,8.92,9.08,9.11,9.08,1.75,1.72,1.75,1,1,"Onder 13","2009-04"
"574",2215,150.5,118.5,75.9,35,NA,24,24,9,57,51,60,111,31,38,69,27,31,58,2.07,2.04,2.04,3.6,3.57,3.57,5.11,5.08,5.08,9.17,9.14,9.14,8.96,9.31,8.96,1.87,1.8,1.87,1,1,"Onder 13","2009-04"
"575",2216,156.5,124,81.4,39.4,NA,24,24,21,69,48,50,98,32,36,68,32,35,67,2.05,2.01,2.01,3.63,3.58,3.58,5.07,5.04,5.04,8.88,8.96,8.88,9.56,8.92,8.92,1.8,1.99,1.99,1,1,"Onder 13","2009-04"
"576",2217,151.5,118.5,75.9,42.8,NA,24,24,23,71,58,60,118,30,31,61,34,39,73,1.99,1.99,1.99,3.52,3.57,3.52,4.92,4.98,4.92,8.95,9.01,8.95,8.91,8.95,8.91,1.6,1.7,1.7,1,1,"Onder 13","2009-04"
"577",232,NA,NA,NA,NA,NA,24,22,17,63,54,54,108,26,32,58,28,26,54,1.9,1.96,1.9,3.4,3.42,3.4,4.78,4.85,4.78,8.66,8.62,8.62,8.73,8.6,8.6,2.06,2,2.06,1,1,"Onder 13","2009-05"
"578",1610,151,117,77.1,38,NA,24,24,15,63,52,54,106,34,35,69,24,24,48,1.99,2.01,1.99,3.5,3.48,3.48,4.96,4.95,4.95,8.67,8.74,8.67,8.98,8.79,8.79,1.74,1.69,1.74,1,1,"Onder 13","2009-05"
"579",1747,157.1,122.4,80.3,41.2,NA,24,24,6,54,56,58,114,26,36,62,21,26,47,2.06,2.09,2.06,3.63,3.64,3.63,5.1,5.1,5.1,8.62,8.75,8.62,8.61,8.56,8.56,1.8,1.87,1.87,1,1,"Onder 13","2009-05"
"580",1748,161.4,122.1,80,48.1,NA,24,11,4,39,54,54,108,22,20,42,25,22,47,1.91,1.91,1.91,3.37,3.38,3.37,4.78,4.76,4.76,8.8,8.77,8.77,8.85,8.75,8.75,1.8,1.68,1.8,1,1,"Onder 13","2009-05"
"581",230,166.4,126.3,81.3,46.4,NA,21,16,9,46,54,54,108,NA,NA,NA,NA,NA,NA,1.93,1.91,1.91,3.4,3.47,3.4,4.8,4.93,4.8,8.91,8.66,8.66,8.9,8.79,8.79,1.7,1.78,1.78,1,1,"Onder 13","2009-06"
"582",231,156.7,126.9,81.9,47.8,NA,21,23,11,55,61,63,124,33,36,69,32,33,65,1.99,1.97,1.97,3.42,3.42,3.42,4.84,4.82,4.82,8.46,8.56,8.46,8.54,8.46,8.46,1.72,1.92,1.92,1,1,"Onder 13","2009-06"
"583",1608,154.4,114.9,75,38.4,NA,24,24,19,67,44,40,84,26,31,57,24,30,54,1.95,2.05,1.95,3.47,3.56,3.47,4.95,5.07,4.95,8.74,8.59,8.59,8.54,8.52,8.52,1.85,1.86,1.86,1,1,"Onder 13","2009-06"
"584",1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-06"
"585",1745,152.4,121.5,79.4,42.7,NA,24,17,9,50,50,49,99,24,30,54,26,26,52,2.09,2.02,2.02,3.67,3.59,3.59,5.13,5.06,5.06,8.96,8.84,8.84,8.97,8.79,8.79,1.6,1.57,1.6,1,1,"Onder 13","2009-06"
"586",1746,157.1,122.5,80.4,46.2,NA,18,14,18,50,52,54,106,22,26,48,23,22,45,1.84,1.88,1.84,3.3,3.31,3.3,4.68,4.68,4.68,8.57,8.51,8.51,8.44,8.36,8.36,1.92,1.85,1.92,1,1,"Onder 13","2009-06"
"587",1607,141.2,113.9,74,30.4,NA,24,24,10,58,52,48,100,28,31,59,28,28,56,2.04,2.03,2.03,3.55,3.58,3.55,5.08,5.06,5.06,8.79,8.49,8.49,8.5,8.57,8.5,1.8,1.76,1.8,1,1,"Onder 13","2009-07"
"588",1884,149.1,116,74.6,36,NA,24,15,9,48,47,50,97,28,30,58,30,25,55,2.03,2.11,2.03,3.53,3.6,3.53,5.04,5.08,5.04,9.21,8.79,8.79,9.29,9.13,9.13,1.86,1.89,1.89,1,1,"Onder 13","2009-07"
"589",1885,116.3,149.4,108,35.3,NA,20,19,10,49,46,48,94,22,27,49,27,28,55,2.11,2.2,2.11,3.66,3.79,3.66,5.1,5.25,5.1,9.12,8.87,8.87,9.22,9.12,9.12,1.58,1.51,1.58,1,1,"Onder 13","2009-07"
"590",229,NA,NA,NA,NA,NA,24,24,24,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-08"
"591",1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-08"
"592",1743,139.7,114.8,72.7,32,NA,24,19,6,49,57,59,116,28,30,58,20,25,45,2.12,2.2,2.12,3.67,3.77,3.67,5.15,5.29,5.15,8.87,9.02,8.87,8.52,8.98,8.52,1.75,1.82,1.82,1,1,"Onder 13","2009-08"
"593",1744,167.1,125.6,83.5,49,NA,24,17,8,49,48,50,98,24,28,52,22,19,41,1.94,1.98,1.94,3.39,3.42,3.39,4.79,4.81,4.79,8.68,8.32,8.32,8.37,8.36,8.36,2.03,1.94,2.03,1,1,"Onder 13","2009-08"
"594",1883,146.6,116,74.6,38.6,NA,19,3,4,26,44,46,90,24,20,44,32,30,62,1.93,1.99,1.93,3.42,3.47,3.42,4.86,4.92,4.86,8.37,8.34,8.34,8.46,8.29,8.29,1.73,1.82,1.82,1,1,"Onder 13","2009-08"
"595",228,165.4,129.2,84.2,48.5,NA,19,14,10,43,44,46,90,29,28,57,26,26,52,2.17,2.15,2.15,3.71,3.73,3.71,5.17,5.2,5.17,8.93,8.87,8.87,9,9.08,9,1.92,1.87,1.92,1,1,"Onder 13","2009-09"
"596",1741,145.1,116.2,74.1,34.6,NA,24,23,9,56,55,53,108,24,28,52,22,24,46,2.1,2.04,2.04,3.65,3.53,3.53,5.11,5.06,5.06,8.53,8.61,8.53,8.91,8.83,8.83,1.84,1.64,1.84,1,1,"Onder 13","2009-09"
"597",1742,167.9,124.8,82.7,44.4,NA,24,24,17,65,60,60,120,18,36,54,29,28,57,2.21,2.22,2.21,3.86,3.86,3.86,5.47,5.45,5.45,9.42,9.3,9.3,9.87,9.31,9.31,1.87,1.67,1.87,1,1,"Onder 13","2009-09"
"598",1882,142.2,114.2,72.8,37,NA,24,24,18,66,NA,48,48,26,30,56,13,15,28,2.27,2.23,2.23,3.87,3.8,3.8,5.45,5.35,5.35,9.8,9.82,9.8,10.12,9.64,9.64,1.6,1.82,1.82,1,1,"Onder 13","2009-09"
"599",2214,162,123.5,80.9,45.6,NA,23,19,10,52,NA,NA,NA,25,30,55,38,39,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-09"
"600",226,149.6,121.4,76.4,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-10"
"601",227,159.2,125.5,80.5,42.4,NA,24,15,11,50,48,50,98,NA,NA,NA,32,30,62,2.13,1.98,1.98,3.63,3.53,3.53,5.08,4.95,4.95,8.64,8.35,8.35,8.51,8.45,8.45,1.86,1.92,1.92,1,1,"Onder 13","2009-10"
"602",1605,143.5,111.5,71.6,35.2,NA,24,24,23,71,50,56,106,26,31,57,22,18,40,2,2.03,2,3.48,3.56,3.48,4.95,5.07,4.95,8.95,9.02,8.95,9,8.79,8.79,1.73,1.74,1.74,1,1,"Onder 13","2009-10"
"603",1880,160.5,122,80.6,43.9,NA,24,19,24,67,48,50,98,26,30,56,34,40,74,2.3,2.38,2.3,3.95,4.04,3.95,5.52,5.65,5.52,9.72,9.6,9.6,9.75,9.58,9.58,1.63,1.64,1.64,1,1,"Onder 13","2009-10"
"604",1881,150.3,116,74.6,44.3,NA,20,12,16,48,46,48,94,21,23,44,29,28,57,2.29,2.16,2.16,3.88,3.79,3.79,5.5,5.43,5.43,10.02,9.63,9.63,10.04,9.59,9.59,1.47,1.4,1.47,1,1,"Onder 13","2009-10"
"605",2212,154,120,77.4,45.4,NA,24,24,19,67,45,46,91,30,32,62,35,37,72,1.97,1.97,1.97,3.48,3.52,3.48,4.86,4.91,4.86,8.95,8.81,8.81,8.79,8.62,8.62,1.75,1.79,1.79,1,1,"Onder 13","2009-10"
"606",2213,156.5,122,79.4,41.1,NA,23,18,18,59,52,58,110,35,36,71,31,38,69,2.21,2.21,2.21,3.88,3.85,3.85,5.4,5.35,5.35,8.79,8.65,8.65,8.92,8.79,8.79,1.62,1.73,1.73,1,1,"Onder 13","2009-10"
"607",1739,147.6,115.5,73.4,36.3,NA,23,8,3,34,54,50,104,24,28,52,20,21,41,2.03,2.1,2.03,3.55,3.6,3.55,5.02,5.13,5.02,8.95,8.95,8.95,9.18,8.98,8.98,1.38,1.58,1.58,1,1,"Onder 13","2009-11"
"608",1740,146.6,117.7,75.6,31.3,NA,24,24,17,65,57,58,115,19,28,47,23,26,49,2.09,2.18,2.09,3.68,3.72,3.68,5.24,5.25,5.24,8.95,8.64,8.64,8.87,8.67,8.67,1.7,1.64,1.7,1,1,"Onder 13","2009-11"
"609",2211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Onder 13","2009-11"
"610",1603,150.6,113.9,74,38.1,NA,24,24,22,70,52,48,100,26,29,55,14,14,28,1.95,1.95,1.95,3.39,3.41,3.39,4.82,4.88,4.82,8.63,8.38,8.38,8.39,8.37,8.37,2,2.02,2.02,1,1,"Onder 13","2009-12"
"611",1604,147.9,115.6,75.7,38.4,NA,24,24,23,71,52,56,108,33,30,63,26,18,44,2.03,2.02,2.02,3.55,3.56,3.55,5.11,5.07,5.07,8.78,8.63,8.63,8.78,8.7,8.7,1.82,1.63,1.82,1,1,"Onder 13","2009-12"
"612",1737,142.7,116.2,74.1,31.6,NA,24,24,5,53,48,49,97,20,28,48,17,20,37,2.09,2.03,2.03,3.66,3.66,3.66,5.23,5.28,5.23,8.76,9.06,8.76,9.02,8.88,8.88,1.79,1.77,1.79,1,1,"Onder 13","2009-12"
"613",1738,159.5,123,80.9,47.3,NA,24,20,12,56,54,56,110,20,24,44,21,30,51,2.04,2.05,2.04,3.54,3.57,3.54,5,5.02,5,8.94,9.03,8.94,9.14,8.93,8.93,1.74,1.72,1.74,1,1,"Onder 13","2009-12"
"614",2210,167,129,86.4,56.8,NA,20,24,12,56,54,54,108,26,32,58,34,37,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.13,2.13,1,1,"Onder 13","2009-12"
