"","id","Staande.lengte","Zittende.lengte","Lengte.bovenlichaam","Gewicht","Maturity.Offset","Balance.Beam.6cm","Balance.Beam.4.5cm","Balance.Beam.3cm","Balance.beam.totaal","Zijwaarts.springen.1","Zijwaarts.springen.2","Zijwaarts.springen.totaal","Zijwaarts.verplaatsen.1","Zijwaarts.verplaatsen.2","Zijwaarts.verplaatsen.totaal","Oog.hand.coordinatie.1","Oog.hand.coordinatie.2","Oog.hand.coordinatie.Totaal","X10.meter.sprint.1","X10.meter.sprint.2","X10.meter.sprint.beste","X20.meter.sprint.1","X20.meter.sprint.2","X20.meter.sprint.beste","X30.meter.sprint.1","X30.meter.sprint.2","X30.meter.sprint.beste","CoD.links.1","CoD.links.2","CoD.links.beste","CoD.rechts.1","CoD.rechts.2","CoD.rechts.beste","Vertesprong.1","Vertesprong.2","Vertesprong.beste","team_id","reeks_id","team_naam","geboortedatum"
"488",251,162.1,127.8,82.8,43.3,NA,24,19,14,57,50,62,112,31,37,68,30,32,62,2.06,2.08,2.06,3.56,3.58,3.56,5.02,5.01,5.01,8.62,8.6,8.6,9.06,8.48,8.48,1.76,1.95,1.95,2,1,"Onder 14","2008-05"
"489",252,150.4,120.6,75.6,41.3,NA,24,24,24,72,52,58,110,30,33,63,32,34,66,2.1,2.06,2.06,3.65,3.53,3.53,5.07,5.05,5.05,8.9,8.83,8.83,8.84,8.88,8.84,1.81,1.79,1.81,2,1,"Onder 14","2008-05"
"490",1639,168.8,126.6,86.7,54,NA,24,21,5,50,54,52,106,23,28,51,24,26,50,1.95,1.95,1.95,3.28,3.32,3.28,4.57,4.64,4.57,8.6,8.58,8.58,8.3,8.26,8.26,1.79,1.93,1.93,3,1,"Onder 15","2008-05"
"491",1764,168.5,131,88.9,59.7,NA,24,22,16,62,44,44,88,25,30,55,27,30,57,1.97,1.99,1.97,3.4,3.44,3.4,4.81,4.82,4.81,8.88,8.85,8.85,9.05,9.13,9.05,2.01,2.09,2.09,2,1,"Onder 14","2008-05"
"492",1765,157,122.5,80.4,42.3,NA,24,23,19,66,50,49,99,NA,NA,NA,21,21,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-05"
"493",1904,154.5,116.2,74.8,46.9,NA,24,18,11,53,50,52,102,26,31,57,32,32,64,2.02,2.01,2.01,3.5,3.5,3.5,4.98,4.89,4.89,9,8.82,8.82,8.93,8.86,8.86,1.58,1.7,1.7,2,1,"Onder 14","2008-05"
"494",1905,157.7,123.1,81.7,44,NA,24,17,11,52,54,56,110,16,24,40,32,31,63,1.91,1.93,1.91,3.33,3.35,3.33,4.68,4.68,4.68,8.42,8.65,8.42,8.29,8.36,8.29,1.93,1.95,1.95,2,1,"Onder 14","2008-05"
"495",2232,151.5,122,79.4,44,NA,24,22,17,63,55,53,108,35,33,68,40,44,84,2.08,2.13,2.08,3.59,3.67,3.59,4.95,5.11,4.95,8.83,8.61,8.61,8.74,8.7,8.7,1.5,1.63,1.63,2,1,"Onder 14","2008-05"
"496",249,147.6,121.3,76.3,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"Onder 14","2008-06"
"497",250,166.6,129.5,84.5,57.5,NA,24,24,6,54,54,40,94,33,29,62,34,47,81,2.14,2.1,2.1,3.6,3.59,3.59,5.01,4.99,4.99,8.92,8.46,8.46,8.74,8.74,8.74,1.85,1.83,1.85,2,1,"Onder 14","2008-06"
